
=====[ POSLOWIE ]=====
Lacznie: 498
Kobiety: 153
Mezczyzni: 345
Polskie znaki w nazwisku: 147
Wieloczlonowe imie: 46
Wieloczlonowe nazwisko: 25



imie	nazwisko	plec	polskie_znaki	wieloczlonowe_imie	wieloczlonowe_nazwisko
                Marcin                Warchoł    m           True               False                   False
                Robert               Wardzała    m           True               False                   False
                Robert                 Warwas    m          False               False                   False
                   Jan               Warzecha    m          False               False                   False
            Małgorzata             Wassermann    k          False               False                   False
                Michał                  Wawer    m          False               False                   False
                Maciej                  Wąsik    m           True               False                   False
                 Marta                 Wcisło    k           True               False                   False
                 Rafał                  Weber    m          False               False                   False
                 Marek                 Wesoły    m           True               False                   False
                Joanna                  Wicha    k          False               False                   False
                Patryk                 Wicher    m          False               False                   False
               Dariusz              Wieczorek    m          False               False                   False
      Jarosław Wiesław              Wieczorek    m          False                True                   False
                Monika           Wielichowska    k          False               False                   False
               Ryszard                   Wilk    m          False               False                   False
                Teresa                   Wilk    k          False               False                   False
            Przemysław                 Wipler    m          False               False                   False
                Adrian                Witczak    m          False               False                   False
               Mariusz                Witczak    m          False               False                   False
              Elżbieta                  Witek    k          False               False                   False
            Przemysław                  Witek    m          False               False                   False
                 Kamil                   Wnuk    m          False               False                   False
                  Anna          Wojciechowska    k          False               False                   False
van Heukelom Agnieszka          Wojciechowska    k          False                True                   False
                 Agata              Wojtyszek    k          False               False                   False
              Bogusław            Wołoszański    m           True               False                   False
                Michał                    Woś    m           True               False                   False
              Grzegorz                Woźniak    m           True               False                   False
               Tadeusz                Woźniak    m           True               False                   False
                Michał                 Wójcik    m           True               False                   False
                Maciej                 Wróbel    m           True               False                   False
            Bartłomiej             Wróblewski    m           True               False                   False
                 Paweł               Zalewski    m          False               False                   False
                Adrian               Zandberg    m          False               False                   False
        Andrzej Tomasz             Zapałowski    m           True                True                   False
               Bartosz                Zawieja    m          False               False                   False
             Marcelina                Zawisza    k          False               False                   False
              Sławomir               Zawiślak    m           True               False                   False
